target_id	spi_AIV_tpm	spi_BM_tpm	spi_LBH_tpm	spi_LG_tpm	spi_RBH_tpm	spi_RG_tpm	spi_ROL_tpm	spi_RWB_tpm	spi_S_tpm	sp_ORM_tpm	sp_TMS_tpm
transcript-21148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8760	5.27556	0.843291	0.0	1.67143	0.0	0.0	4.02091	8.126389999999999	0.0	5.45761	1.34097
transcript-21147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21139	0.0	0.0	0.0	0.0	0.0	3.57953	0.0	0.0	0.0	0.0	0.0
mrna-8759	0.0	0.0	0.0	6.15773	8.569280000000001	1.20992	0.0	0.0	5.5560599999999996	0.0	0.0
mrna-8758	3.85505	2.49355	3.6112800000000003	8.49717	5.84633	7.95061	0.0	0.031545	31.5979	1.18746	3.54733
transcript-21138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21130	0.308196	0.0	0.0	0.0	0.0	0.543187	0.0	0.0	0.0	0.0	0.0
transcript-21129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-43610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-43609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-43608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-43607	0.0	0.0	0.0	0.0	2.59042	0.0	0.0	0.0	0.9336540000000001	0.0	0.0
transcript-43606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-17690	1.38798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99953
mrna-17689	178.21	135.734	379.74699999999996	289.084	470.75699999999995	277.548	411.596	424.055	225.68900000000002	262.758	154.069
transcript-43605	0.8553459999999999	0.700217	0.0	0.0	0.0	0.0	5.110530000000001	1.1732200000000002	0.0	0.0	1.8949599999999998
mrna-17688	11.3149	2.13632	15.5227	12.4906	4.53332	10.2479	2.10879	3.6426300000000005	10.7355	8.06275	5.98299
mrna-17687	1.29351	0.6080409999999999	3.13404	3.02137	1.08892	2.53154	0.0	0.0	0.751951	1.64051	0.9533889999999999
transcript-43604	0.40966	0.7024090000000001	0.946192	0.0	0.0	1.45069	0.0	0.0	0.0	1.7023700000000002	0.63425
transcript-23423	2.8872400000000003	0.0	0.0	0.0	0.0	0.527496	0.0	0.0	8.11686	0.0	1.86945
mrna-9936	2.92899	6885.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-9935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-9934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23421	0.112239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21113600000000002	0.12418900000000001
mrna-9933	3.47175	0.9635239999999999	9.11302	17.1363	2.29357	10.5313	0.0	0.0	11.7668	1.05425	3.47665
mrna-9932	0.453079	0.0	0.067692	0.0	2.65445	0.0	1.03124	0.0	1.00227	0.49027200000000004	0.429411
transcript-23420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-35976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23417	0.804742	2.9216900000000003	0.0	13.7613	6.70763	2.42417	13.277999999999999	0.5510079999999999	0.0	2.2148	6.2376
transcript-23416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23414	0.590345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-23384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31768	0.057037199999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11837
transcript-31772	0.7633909999999999	13.0841	89.5335	12.6577	57.8867	32.4325	699.427	387.866	175.21099999999998	0.0	3.04202
transcript-31773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-10693	7.6516399999999996	9.15136	50.5692	11.2741	55.5461	20.6072	83.3782	58.8421	9.563310000000001	7.242360000000001	11.3548
transcript-25057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-25056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-25055	0.0	0.0	0.0	0.0	0.148956	0.0	0.5890449999999999	0.0	0.0	0.0	0.0
transcript-25054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-10692	1.7498099999999999	0.391805	12.5503	10.0333	23.5107	6.3329	21.459	16.6714	11.5322	1.28421	1.1234
transcript-25053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-25052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-25051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10367
transcript-25050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-6858	27.4086	6.80404	54.2111	37.6555	46.5159	30.0892	10.068999999999999	12.4155	25.1489	18.6739	27.193
mrna-6857	3.8414599999999997	2.01994	1.69862	3.0573599999999996	5.9165	3.22479	10.0495	8.48387	4.0202	3.5023199999999997	2.5710599999999997
mrna-6856	2.6354599999999997	0.049486	0.15443900000000002	3.43154	0.250027	3.17963	0.0	0.0	0.663665	0.356823	3.85359
